id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
259,16 9 10,41,42,ND,ND,ND,ND,ND,ND,ND
260,17 9 10,40,31,ND,ND,ND,ND,ND,ND,ND
261,18 9 10,28,41,ND,ND,ND,ND,ND,ND,ND
262,19 9 10,28,40,ND,ND,ND,ND,ND,ND,ND
263,20 9 10,25,31,ND,ND,ND,ND,ND,ND,ND
264,21 9 10,35,30,ND,ND,ND,ND,ND,ND,ND
265,22 9 10,33,28,ND,ND,ND,ND,ND,ND,ND
266,23 9 10,46,43,ND,ND,ND,ND,ND,ND,ND
267,24 9 10,40,38,ND,ND,ND,ND,ND,ND,ND
268,25 9 10,36,41,ND,ND,ND,ND,ND,ND,ND
269,26 9 10,28,25,ND,ND,ND,ND,ND,ND,ND
270,27 9 10,31,23,ND,ND,ND,ND,ND,ND,ND
271,28 9 10,32,31,ND,ND,ND,ND,ND,ND,ND
272,29 9 10,28,37,ND,ND,ND,ND,ND,ND,ND
273,30 9 10,26,28,ND,ND,ND,ND,ND,ND,ND
274,01 10 10,25,28,ND,ND,ND,ND,ND,ND,ND
275,02 10 10,40,51,ND,ND,ND,ND,ND,ND,ND
276,03 10 10,33,48,ND,ND,ND,ND,ND,ND,ND
277,04 10 10,24,29,ND,ND,ND,ND,ND,ND,ND
278,05 10 10,38,42,ND,ND,ND,ND,ND,ND,ND
279,06 10 10,25,35,ND,ND,ND,ND,ND,ND,ND
280,07 10 10,40,52,ND,ND,ND,ND,ND,ND,ND
281,08 10 10,26,38,ND,ND,ND,ND,ND,ND,ND
282,09 10 10,26,43,ND,ND,ND,ND,ND,ND,ND
283,10 10 10,34,40,ND,ND,ND,ND,ND,ND,ND
284,11 10 10,26,37,ND,ND,ND,ND,ND,ND,ND
285,12 10 10,32,45,ND,ND,ND,ND,ND,ND,ND
286,13 10 10,30,39,ND,ND,ND,ND,ND,ND,ND
287,14 10 10,32,40,ND,ND,ND,ND,ND,ND,ND
288,15 10 10,37,38,ND,ND,ND,ND,ND,ND,ND
289,16 10 10,40,35,ND,ND,ND,ND,ND,ND,ND
290,17 10 10,30,31,ND,ND,ND,ND,ND,ND,ND
291,18 10 10,15,22,ND,ND,ND,ND,ND,ND,ND
292,19 10 10,19,21,ND,ND,ND,ND,ND,ND,ND
293,20 10 10,30,22,ND,ND,ND,ND,ND,ND,ND
294,21 10 10,35,32,ND,ND,ND,ND,ND,ND,ND
295,22 10 10,22,28,ND,ND,ND,ND,ND,ND,ND
296,23 10 10,23,22,ND,ND,ND,ND,ND,ND,ND
297,24 10 10,20,23,ND,ND,ND,ND,ND,ND,ND
298,25 10 10,26,19,ND,ND,ND,ND,ND,ND,ND
299,26 10 10,42,32,ND,ND,ND,ND,ND,ND,ND
300,27 10 10,42,42,ND,ND,ND,ND,ND,ND,ND
301,28 10 10,29,33,ND,ND,ND,ND,ND,ND,ND
302,29 10 10,40,48,ND,ND,ND,ND,ND,ND,ND
303,30 10 10,35,42,ND,ND,ND,ND,ND,ND,ND
304,31 10 10,17,32,ND,ND,ND,ND,ND,ND,ND
305,01 11 10,ND,22,ND,ND,ND,ND,ND,ND,ND
306,02 11 10,19,32,ND,ND,ND,ND,ND,ND,ND
307,03 11 10,28,28,ND,ND,ND,ND,ND,ND,ND
308,04 11 10,51,46,ND,ND,ND,ND,ND,ND,ND
309,05 11 10,39,50,ND,ND,ND,ND,ND,ND,ND
310,06 11 10,31,46,ND,ND,ND,ND,ND,ND,ND
311,07 11 10,31,26,ND,ND,ND,ND,ND,ND,ND
312,08 11 10,29,33,ND,ND,ND,ND,ND,ND,ND
313,09 11 10,39,46,ND,ND,ND,ND,ND,ND,ND
314,10 11 10,30,36,ND,ND,ND,ND,ND,ND,ND
315,11 11 10,28,34,ND,ND,ND,ND,ND,ND,ND
316,12 11 10,32,35,ND,ND,ND,ND,ND,ND,ND
317,13 11 10,26,26,ND,ND,ND,ND,ND,ND,ND
318,14 11 10,16,19,ND,ND,ND,ND,ND,ND,ND
319,15 11 10,19,19,ND,ND,ND,ND,ND,ND,ND
320,16 11 10,28,30,ND,ND,ND,ND,ND,ND,ND
321,17 11 10,26,30,ND,ND,ND,ND,ND,ND,ND
322,18 11 10,30,30,ND,ND,ND,ND,ND,ND,ND
323,19 11 10,20,23,ND,ND,ND,ND,ND,ND,ND
324,20 11 10,23,30,ND,ND,ND,ND,ND,ND,ND
325,21 11 10,21,27,ND,ND,ND,ND,ND,ND,ND
326,22 11 10,28,27,ND,ND,ND,ND,ND,ND,ND
327,23 11 10,28,28,ND,ND,ND,ND,ND,ND,ND
328,24 11 10,21,21,ND,ND,ND,ND,ND,ND,ND
329,25 11 10,28,32,ND,ND,ND,ND,ND,ND,ND
330,26 11 10,28,34,ND,ND,ND,ND,ND,ND,ND
