_id,id,Fecha,ERA - Obrero,La Flora,Pance,Univalle,Base Aerea,Compartir,La Ermita,Cañav eralejo,Transitoria
259,259,2010-09-16T00:00:00,41,42,ND,ND,ND,ND,ND,ND,ND
260,260,2010-09-17T00:00:00,40,31,ND,ND,ND,ND,ND,ND,ND
261,261,2010-09-18T00:00:00,28,41,ND,ND,ND,ND,ND,ND,ND
262,262,2010-09-19T00:00:00,28,40,ND,ND,ND,ND,ND,ND,ND
263,263,2010-09-20T00:00:00,25,31,ND,ND,ND,ND,ND,ND,ND
264,264,2010-09-21T00:00:00,35,30,ND,ND,ND,ND,ND,ND,ND
265,265,2010-09-22T00:00:00,33,28,ND,ND,ND,ND,ND,ND,ND
266,266,2010-09-23T00:00:00,46,43,ND,ND,ND,ND,ND,ND,ND
267,267,2010-09-24T00:00:00,40,38,ND,ND,ND,ND,ND,ND,ND
268,268,2010-09-25T00:00:00,36,41,ND,ND,ND,ND,ND,ND,ND
269,269,2010-09-26T00:00:00,28,25,ND,ND,ND,ND,ND,ND,ND
270,270,2010-09-27T00:00:00,31,23,ND,ND,ND,ND,ND,ND,ND
271,271,2010-09-28T00:00:00,32,31,ND,ND,ND,ND,ND,ND,ND
272,272,2010-09-29T00:00:00,28,37,ND,ND,ND,ND,ND,ND,ND
273,273,2010-09-30T00:00:00,26,28,ND,ND,ND,ND,ND,ND,ND
274,274,2010-01-10T00:00:00,25,28,ND,ND,ND,ND,ND,ND,ND
275,275,2010-02-10T00:00:00,40,51,ND,ND,ND,ND,ND,ND,ND
276,276,2010-03-10T00:00:00,33,48,ND,ND,ND,ND,ND,ND,ND
277,277,2010-04-10T00:00:00,24,29,ND,ND,ND,ND,ND,ND,ND
278,278,2010-05-10T00:00:00,38,42,ND,ND,ND,ND,ND,ND,ND
279,279,2010-06-10T00:00:00,25,35,ND,ND,ND,ND,ND,ND,ND
280,280,2010-07-10T00:00:00,40,52,ND,ND,ND,ND,ND,ND,ND
281,281,2010-08-10T00:00:00,26,38,ND,ND,ND,ND,ND,ND,ND
282,282,2010-09-10T00:00:00,26,43,ND,ND,ND,ND,ND,ND,ND
283,283,2010-10-10T00:00:00,34,40,ND,ND,ND,ND,ND,ND,ND
284,284,2010-11-10T00:00:00,26,37,ND,ND,ND,ND,ND,ND,ND
285,285,2010-12-10T00:00:00,32,45,ND,ND,ND,ND,ND,ND,ND
286,286,2010-10-13T00:00:00,30,39,ND,ND,ND,ND,ND,ND,ND
287,287,2010-10-14T00:00:00,32,40,ND,ND,ND,ND,ND,ND,ND
288,288,2010-10-15T00:00:00,37,38,ND,ND,ND,ND,ND,ND,ND
289,289,2010-10-16T00:00:00,40,35,ND,ND,ND,ND,ND,ND,ND
290,290,2010-10-17T00:00:00,30,31,ND,ND,ND,ND,ND,ND,ND
291,291,2010-10-18T00:00:00,15,22,ND,ND,ND,ND,ND,ND,ND
292,292,2010-10-19T00:00:00,19,21,ND,ND,ND,ND,ND,ND,ND
293,293,2010-10-20T00:00:00,30,22,ND,ND,ND,ND,ND,ND,ND
294,294,2010-10-21T00:00:00,35,32,ND,ND,ND,ND,ND,ND,ND
295,295,2010-10-22T00:00:00,22,28,ND,ND,ND,ND,ND,ND,ND
